prompt_id,left_model,right_model,left_phase,right_phase,left_repetition,right_repetition,left_row_index,right_row_index,pair_type,cosine_similarity
factual_002,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,201,301,cross-model agreement,0.8447240577928572
factual_002,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,201,401,cross-model agreement,0.8415189690636343
factual_002,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,201,501,cold-to-warm consistency,0.8680773291537608
factual_002,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,201,601,cross-model agreement,0.8620331259238907
factual_002,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,201,701,cross-model agreement,0.8585946411953557
factual_002,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,201,801,cold-to-warm consistency,0.8859778595519984
factual_002,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,301,401,cross-model agreement,0.9726693180091036
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,301,501,cross-model agreement,0.9762764967381226
factual_002,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,301,601,within-model repeat,0.8749010459937057
factual_002,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,301,701,cross-model agreement,0.8476851375530887
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,301,801,cross-model agreement,0.8501773927826758
factual_002,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,401,501,cross-model agreement,0.9723476679916654
factual_002,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,401,601,cross-model agreement,0.8478472485468911
factual_002,gpt-5.4,gpt-5.4,warm,warm,1,2,401,701,within-model repeat,0.8762558067348039
factual_002,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,401,801,cross-model agreement,0.8469451902919358
factual_002,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,501,601,cross-model agreement,0.8500198392833178
factual_002,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,501,701,cross-model agreement,0.8466263272718019
factual_002,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,501,801,within-model repeat,0.8735880153097008
factual_002,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,601,701,cross-model agreement,0.9716939652190776
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,601,801,cross-model agreement,0.9754206523816458
factual_002,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,701,801,cross-model agreement,0.9713570373424878
factual_003,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,2,102,cross-model agreement,0.9647405364603541
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,2,202,cross-model agreement,0.9693769372795603
factual_003,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,2,302,cold-to-warm consistency,0.8485053655867718
factual_003,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,2,402,cross-model agreement,0.8145662071958436
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,2,502,cross-model agreement,0.8172883300617753
factual_003,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,2,602,cold-to-warm consistency,0.8664531271003708
factual_003,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,2,702,cross-model agreement,0.8317581274735544
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,2,802,cross-model agreement,0.8348921390136986
factual_003,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,102,202,cross-model agreement,0.9642734376239417
factual_003,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,102,302,cross-model agreement,0.8144458268048431
factual_003,gpt-5.4,gpt-5.4,cold,warm,0,1,102,402,cold-to-warm consistency,0.849925156050573
factual_003,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,102,502,cross-model agreement,0.8129184832667773
factual_003,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,102,602,cross-model agreement,0.8317732257855109
factual_003,gpt-5.4,gpt-5.4,cold,warm,0,2,102,702,cold-to-warm consistency,0.8677276651108792
factual_003,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,102,802,cross-model agreement,0.8304297993420279
factual_003,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,202,302,cross-model agreement,0.8174575179000938
factual_003,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,202,402,cross-model agreement,0.8132069460109117
factual_003,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,202,502,cold-to-warm consistency,0.8465169603699287
factual_003,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,202,602,cross-model agreement,0.8348709059480505
factual_003,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,202,702,cross-model agreement,0.8303936062203005
factual_003,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,202,802,cold-to-warm consistency,0.8646674080620363
factual_003,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,302,402,cross-model agreement,0.9658290925931654
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,302,502,cross-model agreement,0.9703325152971303
factual_003,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,302,602,within-model repeat,0.8552796014880067
factual_003,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,302,702,cross-model agreement,0.8211156855708844
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,302,802,cross-model agreement,0.8242279182341767
factual_003,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,402,502,cross-model agreement,0.9653819656611178
factual_003,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,402,602,cross-model agreement,0.821251959140772
factual_003,gpt-5.4,gpt-5.4,warm,warm,1,2,402,702,within-model repeat,0.8566381573418972
factual_003,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,402,802,cross-model agreement,0.8199451151540903
factual_003,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,502,602,cross-model agreement,0.824036371623622
factual_003,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,502,702,cross-model agreement,0.8196185387452143
factual_003,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,502,802,within-model repeat,0.8533768817077656
factual_003,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,602,702,cross-model agreement,0.9646068424184556
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,602,802,cross-model agreement,0.969259530140048
factual_003,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,702,802,cross-model agreement,0.9641372659211231
factual_004,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,3,103,cross-model agreement,0.976592106928096
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,3,203,cross-model agreement,0.9797455993065223
factual_004,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,3,303,cold-to-warm consistency,0.8992170061333619
factual_004,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,3,403,cross-model agreement,0.8764374636968082
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,3,503,cross-model agreement,0.8787231179176033
factual_004,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,3,603,cold-to-warm consistency,0.911857570822383
factual_004,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,3,703,cross-model agreement,0.8887861692600699
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,3,803,cross-model agreement,0.8912529662267061
factual_004,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,103,203,cross-model agreement,0.9763232241758413
factual_004,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,103,303,cross-model agreement,0.8763713262158692
factual_004,gpt-5.4,gpt-5.4,cold,warm,0,1,103,403,cold-to-warm consistency,0.8998473056854515
factual_004,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,103,503,cross-model agreement,0.8756249702925895
factual_004,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,103,603,cross-model agreement,0.8887737915423948
factual_004,gpt-5.4,gpt-5.4,cold,warm,0,2,103,703,cold-to-warm consistency,0.9124145861172915
factual_004,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,103,803,cross-model agreement,0.8881119695073798
factual_004,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,203,303,cross-model agreement,0.8788152971723034
factual_004,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,203,403,cross-model agreement,0.875782912634762
factual_004,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,203,503,cold-to-warm consistency,0.8983408973352359
factual_004,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,203,603,cross-model agreement,0.8912702218493206
factual_004,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,203,703,cross-model agreement,0.8881415330570184
factual_004,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,203,803,cold-to-warm consistency,0.9110832051572989
factual_004,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,303,403,cross-model agreement,0.9771480400200184
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,303,503,cross-model agreement,0.980230080397786
factual_004,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,303,603,within-model repeat,0.9040727452494693
factual_004,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,303,703,cross-model agreement,0.8812679483553142
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,303,803,cross-model agreement,0.8837288625660071
factual_004,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,403,503,cross-model agreement,0.9768874205132274
factual_004,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,403,603,cross-model agreement,0.8813221814306107
factual_004,gpt-5.4,gpt-5.4,warm,warm,1,2,403,703,within-model repeat,0.9046714783176556
factual_004,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,403,803,cross-model agreement,0.8806819537071289
factual_004,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,503,603,cross-model agreement,0.8836532760788047
factual_004,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,503,703,cross-model agreement,0.8805524387830694
factual_004,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,503,803,within-model repeat,0.9032405387935307
factual_004,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,603,703,cross-model agreement,0.976694701400039
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,603,803,cross-model agreement,0.9798350203987922
factual_004,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,703,803,cross-model agreement,0.9764273505265137
factual_005,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,4,104,cross-model agreement,0.9609626582005155
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,4,204,cross-model agreement,0.9659709790101855
factual_005,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,4,304,cold-to-warm consistency,0.8079864499232507
factual_005,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,4,404,cross-model agreement,0.7725590539983567
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,4,504,cross-model agreement,0.7748805130065695
factual_005,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,4,604,cold-to-warm consistency,0.8328483970492846
factual_005,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,4,704,cross-model agreement,0.7955764985940313
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,4,804,cross-model agreement,0.7985966367712065
factual_005,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,104,204,cross-model agreement,0.9606558298848283
factual_005,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,104,304,cross-model agreement,0.7720695942612769
factual_005,gpt-5.4,gpt-5.4,cold,warm,0,1,104,404,cold-to-warm consistency,0.812747537387768
factual_005,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,104,504,cross-model agreement,0.7718353401118341
factual_005,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,104,604,cross-model agreement,0.7957405311140245
factual_005,gpt-5.4,gpt-5.4,cold,warm,0,2,104,704,cold-to-warm consistency,0.8371359251616519
factual_005,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,104,804,cross-model agreement,0.7954823425984466
factual_005,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,204,304,cross-model agreement,0.7748682026295962
factual_005,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,204,404,cross-model agreement,0.7723123815691165
factual_005,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,204,504,cold-to-warm consistency,0.8081057961975298
factual_005,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,204,604,cross-model agreement,0.7986007672900569
factual_005,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,204,704,cross-model agreement,0.7953224768638618
factual_005,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,204,804,cold-to-warm consistency,0.8329559637862743
factual_005,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,304,404,cross-model agreement,0.9628779040529397
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,304,504,cross-model agreement,0.9676638764410149
factual_005,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,304,604,within-model repeat,0.8145054993578964
factual_005,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,304,704,cross-model agreement,0.7781384198333196
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,304,804,cross-model agreement,0.7811160051373497
factual_005,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,404,504,cross-model agreement,0.9625857566272317
factual_005,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,404,604,cross-model agreement,0.7787922657863473
factual_005,gpt-5.4,gpt-5.4,warm,warm,1,2,404,704,within-model repeat,0.8191361104842556
factual_005,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,404,804,cross-model agreement,0.7785395763590972
factual_005,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,504,604,cross-model agreement,0.7811324549428642
factual_005,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,504,704,cross-model agreement,0.7779023243374711
factual_005,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,504,804,within-model repeat,0.8146215951461501
factual_005,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,604,704,cross-model agreement,0.9603397172928594
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,604,804,cross-model agreement,0.9654198331494929
factual_005,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,704,804,cross-model agreement,0.9600281223993443
factual_006,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,5,105,cross-model agreement,0.9655563113395194
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,5,205,cross-model agreement,0.9701619932060251
factual_006,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,5,305,cold-to-warm consistency,0.8248124727008248
factual_006,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,5,405,cross-model agreement,0.7916164108383312
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,5,505,cross-model agreement,0.7944153936748718
factual_006,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,5,605,cold-to-warm consistency,0.8477473527327203
factual_006,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,5,705,cross-model agreement,0.8136323419830298
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,5,805,cross-model agreement,0.8168751479781525
factual_006,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,105,205,cross-model agreement,0.9650912871038255
factual_006,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,105,305,cross-model agreement,0.7915267423250321
factual_006,gpt-5.4,gpt-5.4,cold,warm,0,1,105,405,cold-to-warm consistency,0.825700663050711
factual_006,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,105,505,cross-model agreement,0.7898583072073847
factual_006,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,105,605,cross-model agreement,0.813640182635844
factual_006,gpt-5.4,gpt-5.4,cold,warm,0,2,105,705,cold-to-warm consistency,0.8485389666369909
factual_006,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,105,805,cross-model agreement,0.8121979324254506
factual_006,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,205,305,cross-model agreement,0.7946407768662742
factual_006,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,205,405,cross-model agreement,0.7901719024000353
factual_006,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,205,505,cold-to-warm consistency,0.8225883462097874
factual_006,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,205,605,cross-model agreement,0.816855427296099
factual_006,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,205,705,cross-model agreement,0.8121704980933119
factual_006,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,205,805,cold-to-warm consistency,0.8457641692323673
factual_006,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,305,405,cross-model agreement,0.9670558862783958
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,305,505,cross-model agreement,0.9714716230141719
factual_006,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,305,605,within-model repeat,0.8313368787204989
factual_006,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,305,705,cross-model agreement,0.7979687331229613
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,305,805,cross-model agreement,0.8011609133864285
factual_006,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,405,505,cross-model agreement,0.9666190012028798
factual_006,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,405,605,cross-model agreement,0.7980668220004434
factual_006,gpt-5.4,gpt-5.4,warm,warm,1,2,405,705,within-model repeat,0.8321933406911697
factual_006,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,405,805,cross-model agreement,0.7966711475639806
factual_006,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,505,605,cross-model agreement,0.8009143450656835
factual_006,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,505,705,cross-model agreement,0.7963280738282145
factual_006,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,505,805,within-model repeat,0.8291921414715344
factual_006,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,605,705,cross-model agreement,0.9654287443298368
factual_006,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,605,805,cross-model agreement,0.97005053970484
factual_006,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,705,805,cross-model agreement,0.9649612927585417
factual_007,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,6,106,cross-model agreement,0.9392835982320792
factual_007,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,6,206,cross-model agreement,0.9468927712076028
factual_007,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,6,306,cold-to-warm consistency,0.6918478342448409
factual_007,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,6,406,cross-model agreement,0.6386330827969213
factual_007,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,6,506,cross-model agreement,0.640945098548168
factual_007,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,6,606,cold-to-warm consistency,0.7244407963807082
factual_007,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,6,706,cross-model agreement,0.6673662438072656
factual_007,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,6,806,cross-model agreement,0.6707952395589969
factual_007,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,106,206,cross-model agreement,0.9388155923329788
factual_007,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,106,306,cross-model agreement,0.6378543416818198
factual_007,gpt-5.4,gpt-5.4,cold,warm,0,1,106,406,cold-to-warm consistency,0.7013993068918211
factual_007,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,106,506,cross-model agreement,0.6375605256441336
factual_007,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,106,606,cross-model agreement,0.6676408550946606
factual_007,gpt-5.4,gpt-5.4,cold,warm,0,2,106,706,cold-to-warm consistency,0.7334355356398794
factual_007,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,106,806,cross-model agreement,0.6672997140524488
factual_007,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,206,306,cross-model agreement,0.6409209709235439
factual_007,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,206,406,cross-model agreement,0.6383148785286127
factual_007,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,206,506,cold-to-warm consistency,0.6921425089328106
factual_007,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,206,606,cross-model agreement,0.6708037674067986
factual_007,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,206,706,cross-model agreement,0.6670337230014621
factual_007,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,206,806,cold-to-warm consistency,0.7247187469674325
